Abbreviation/Shorthand,Meaning,More Info
H. pylori,Helicobacter pylori,
H/H,hemoglobin/hematocrit,
h/o,history of,
H&H,hemoglobin and hematocrit,
H&P,history and physical,
H20,water,
H2O2,hydrogen peroxide,
HA,hyaluronic acid,
HA,headache,
HA,hearing aid,
HA,histamine,
HA,hippocampal avoidance,
HA-R,histamine receptor,
HA-WBRT,hippocampal avoidance whole-brain radiotherapy,
HAART,highly active antiretroviral therapy,
HAE,human airway epithelia,
HAGMA,High Anion Gap Metabolic Acidosis,
HAL,hexaminolevulinate,
HAM-D,Hamilton Depression Rating Scale,
HAP,hospital-acquired pneumonia,
HAPE,high altitude pulmonary edema,
HAS-BLED,"hypertension, abnormal renal and liver function, stroke, bleeding, labile INR, elderly, drugs or alcohol",
HAT,"hypoxanthine, aminopterin, thymidine",
HAV,hepatitis A virus,
HAVB,high-grade atrioventricular block,
Hb,hemoglobin,
HBA,hepatobiliary agent,
HBeAg,hepatitis B e-antigen,
HBI,HARVEY-BRADSHAW INDEX,
HBO,hyperbaric oxygen,
HBOT,hyperbaric oxygen therapy,
HBsAg,Hepatitis B surface antigen,
HbSS,sickle cell,
HBV,hepatitis B virus,
HC,hydroxycarbamide,
HCAP,healthcare-associated pneumonia,
HCC,Hepatocellular Carcinoma ,
HCG,Human Chorionic Gonadotropin,
HCl,hydrochloric acid,
HCM,hypertrophic cardiomyopathy,
HCMV,human cytomegalovirus,
HCO3,bicarbonate,
HCoV-229E,human coronavirus 229E,
HCPCS,Healthcare Common Procedure Coding System,
HCQ,hydroxychloroquine,
Hct,hematocrit,
HCTZ,hydrochlorothiazide,
HCV,Hepatitis C virus,
HCVD,hypertensive cardiovascular disease,
HD,hemodynamically,
HD,hemodialysis,
HD,Hirschsprung's disease,
HD,hospital day,
HD-MTX,high-dose methotrexate,
HDC,histidine decarboxylase,
HDFN,hemolytic disease of the fetus and newborn,
HDL,high density lipoprotein,
HDLP,HDL particle concentration,
HDN,hemolytic disease of the newborn,
HE,hemagglutinin–acetylesterase,
HEART,"History, EKG, Age, Risk factors, initial Troponin",
HEENT,"head, eyes, ears, nose, throat",
HeFH,heterozygous familial hypercholesterolaemia,
HEP,home exercise program,
HER2,human epidermal growth factor receptor 2,
HF,heart failure,
HFA,hydrofluoroalkane-134a,
HFCC,high-frequency chest clearance,
HFCWO,high-frequency chest wall oscillation,
HFNC,High-Flow Nasal Cannula,
HFpEF,heart failure with preserved ejection fraction,
HFrEF,heart failure with reduced ejection fraction,
Hg,mercury,
Hg,hemoglobin,
HGB,hemoglobin,
HGF,hepatocyte growth factor,
HH,hiatal hernia,
HHA,home health aide,
HHS,Hyperglycemic Hyperosmolar Syndrome,
HI,homicidal ideation,
HIDA,hepatobiliary iminodiacetic acid scan,
HIE,hypoxic-ischemic encephalopathy,
