Abbreviation/Shorthand,Meaning,More Info
UA,urinalysis,
UAE,uterine artery embolization,
UAS,Uniform Assessment System,
UAS,upper airway stimulation,
UB,upper body,
UC,urothelial carcinoma,
UC,ulcerative colitis,
UCBL,University of California Berkeley Laboratories Shoe Insert,
UCVA,uncorrected visual acuity,
UCx,urine culture,
UDCA,Ursodeoxycholic Acid,
UDS,urine drug screen,
UDVA,uncorrected distance visual acuity,
UE,unplanned extubation,
UF,ultrafiltration,
UFE,uterine fibroid embolization,
UGI,upper gastrointestinal,
ul,microliter,
ULN,upper limits of normal,
UM,uveal melanoma,
UMEC,umeclidinium,
UNE,ulnar neuropathy at the elbow,
UNOS,United Network for Organ Sharing,
UO,urinary output,
UPD,uniparental disomy,
upE,region upstream of the E gene,
UPF,uvulopalatal flap,
UPJ,Ureteropelvic Junction,
UPPP,uvulopalatopharyngoplasty,
URI,upper respiratory infection,
US,ultrasound,
uSAID,undifferentiated Systemic Autoinflammatory Disease,
USH1,Usher Syndrome Type 1,
USH2,Usher Syndrome Type 2,
USH3,Usher Syndrome Type 3,
USOH,usual state of health,
USPSTF,US Preventive Services Task Force,
UST,ustekinumab,
UTI,urinary tract infection,
UV,ultraviolet,
V/Q,ventilation/perfusion,
V1,ophthalmic nerve,
V10,10 gray,
V2,maxillary nerve,
V20,20 gray,
V3,mandibular nerve,
V30,30 gray,
V40,40 gray,
V50,50 gray,
VA,ventricular arrhythmia,
VA,visual acuity,
VA,vertebral artery,
VA,venoarterial,
VAC,vacuum-assisted closure,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3516930/#:~:text=Vacuum-assisted%20closure%20%28VAC%29%20therapy%20is%20a%20widely%20acknowledged,intestinal%20fistulas%20is%20still%20a%20subject%20of%20debate."
VAP,ventilator-associated pneumonia,
VAS,Visual Analogue Scale,
VATS,Video Assisted Thoracoscopy,
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program,
VBAC,vaginal birth after a previous cesarean delivery,
VBG,venous blood gas,
VC,vital capacity,
VCD,vascular closure device,
VD,vascular dementia,
VD,venereal disease,
VD,vascular decompression,
VDRF,ventilator-dependent respiratory failure,
VDRL,Venereal Disease Research Laboratory (serological test for syphilis),
VDZ,vedolizumab,
VED,Vascular Ehlerse-Danlos Syndrome,
VEEG,video EEG,
VEEV,Venezuelan equine encephalitis virus,
VEGF,vascular endothelial growth factor,
VEO-IBD,Very Early Onset Inflammatory Bowel Disease,
VF,visual field,
VF,ventricular fibrillation,https://en.wikipedia.org/wiki/Ventricular_fibrillation
VHD,valvular heart disease,
VHL,von Hippel-Lindau syndrome,
VIDISCA,Virus-Discovery-cDNA-AFLP,
vIGA,Validated Investigator Global Assessment,
VKA,vitamin K antagonist,
VMAT,volume modulated arc therapy,
VMAT2,vesicular monoamine transporter,
VMI,visual motor integration,
VNS,vagus nerve stimulator,
VOC,vasoocclusive crisis,
VOGM,Vein of Galen malformation,
VP,Ventriculo-Peritoneal,
VPB,ventricular premature beat,
VPC,ventricular premature complexes,
VPV2R,vasopressin V2 receptor,
VRAS,Virginia Radiosurgery AVM Scale,
VRE,vancomycin-resistant enterococci,
VS,Vertiflex Superion,
VS,vascular surgery,
VS,vital signs,
VSD,ventricular septal defect,
VSS,Venous Sinus Stenting,
VSS,vital signs stable,
VT,vest therapy,
VT,ventricular tachycardia,
VTE,venous thromboembolism,
VUS,variant of undetermined significance,
VV,venovenous,
VVC,vulvovaginal candidiasis,
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed",
VWF,von Willebrand factor,
VWF:Ag,von Willebrand antigen,
VWF:CB,von Willebrand collagen binding,
VWF:RCo,von Willebrand factor ristocetin cofactor,
VZV,Varicella-Zoster Virus,
w/u,workup,
WB,weight bearing,
WBAT,weight bearing as tolerated,
WBC,white blood cells,
WBC,white blood count,
WBE,wastewater-based epidemiology,
WBRT,whole-brain radiation therapy,
WBT,weight bearing tolerance,
WC,wheelchair,
WCD,wearable cardioverter defibrillator,
WD,wound dehiscence,
WDS,Word Discrimination Score,
WES,Whole Exome Sequencing,
WFL,within functional limits,
WGS,whole genome sequencing,
WHCRA,Women’s Health and Cancer Rights Act,
WHO,World Health Organization,
WIRB,Western Institutional Review Board,
WM,white matter,
WMA,wall motion abnormality,
WMH,white matter hyperintensity,
WNL,within normal limits,
WNV,Wechsler Scale of Nonverbal Ability,
WPATH,World Professional Association for Transgender Health,https://www.wpath.org/
WPW,Wolff-Parkinson-White,
WRAVMA,Wide Range Assessment of Visual Motor Abilities,
WS,Williams Syndrome,
Wt,weight,
WWTP,wastewater treatment plant,
XDR,extensively drug-resistant,
XDR-TB,extensively drug-resistant tuberculosis,
XL,extended release,
XLA,X-linked agammaglobulinaemia,
XLIF,extreme lateral interbody fusion,
XLT,extended length tracheostomy tubes,
XR,extended release,
XRT,radiotherapy,
Y90,Yttrium-90,
YBOCS,Yale Brown Obsessive Compulsive Scale,
yo,year-old/years old,
ZM,zygomaticus minor muscle,
Zn,zinc,
ZnT8,zinc transporter 8,
ZZ,homozygous Z allele,
